URL	A	B	C	D	E	F	links
Dunnlawpa.com	https://www.dunnlawpa.com/	https://www.dunnlawpa.com/contact/	https://www.dunnlawpa.com/about/	https://www.dunnlawpa.com/team-members/	https://www.dunnlawpa.com/practice-areas/		[ "Dunnlawpa.com", "https://www.dunnlawpa.com/", "https://www.dunnlawpa.com/contact/", "https://www.dunnlawpa.com/about/", "https://www.dunnlawpa.com/team-members/", "https://www.dunnlawpa.com/practice-areas/" ]
capitalappellate.com	https://capitalappellate.com/	https://www.capitalappellate.com/larry-ebner/					[ "capitalappellate.com", "https://capitalappellate.com/", "https://www.capitalappellate.com/larry-ebner/" ]
reversevision.com	https://constellationmortgagesolutions.com/	https://constellationmortgagesolutions.com/our-story/	https://constellationmortgagesolutions.com/contact-us/				[ "reversevision.com", "https://constellationmortgagesolutions.com/", "https://constellationmortgagesolutions.com/our-story/", "https://constellationmortgagesolutions.com/contact-us/" ]
gordianknotlaw.com	https://www.gordianknotlaw.com/about	https://www.gordianknotlaw.com/services	https://www.gordianknotlaw.com/contact	https://www.gordianknotlaw.com			[ "gordianknotlaw.com", "https://www.gordianknotlaw.com/about", "https://www.gordianknotlaw.com/services", "https://www.gordianknotlaw.com/contact", "https://www.gordianknotlaw.com" ]
atlasspine.com	https://www.atlasspine.com/	https://www.atlasspine.com/company	https://www.atlasspine.com/contact				[ "atlasspine.com", "https://www.atlasspine.com/", "https://www.atlasspine.com/company", "https://www.atlasspine.com/contact" ]
vdblegalgroup.com	https://www.vdblegalgroup.com/about	https://www.vdblegalgroup.com/contact	https://www.vdblegalgroup.com				[ "vdblegalgroup.com", "https://www.vdblegalgroup.com/about", "https://www.vdblegalgroup.com/contact", "https://www.vdblegalgroup.com" ]
inventimm.com	https://www.inventimm.com/	https://www.inventimm.com/contact-us/	https://www.inventimm.com/who-we-are/	https://www.inventimm.com/practice-areas/			[ "inventimm.com", "https://www.inventimm.com/", "https://www.inventimm.com/contact-us/", "https://www.inventimm.com/who-we-are/", "https://www.inventimm.com/practice-areas/" ]
perduelawgroup.com	https://www.perduelawgroup.com/about	https://www.perduelawgroup.com/practice-areas	https://www.perduelawgroup.com/contact		https://www.perduelawgroup.com		[ "perduelawgroup.com", "https://www.perduelawgroup.com/about", "https://www.perduelawgroup.com/practice-areas", "https://www.perduelawgroup.com/contact", "https://www.perduelawgroup.com" ]
refactorlegal.com	https://www.refactorlegal.com/contact/	https://www.refactorlegal.com/experience/			https://www.refactorlegal.com		[ "refactorlegal.com", "https://www.refactorlegal.com/contact/", "https://www.refactorlegal.com/experience/", "https://www.refactorlegal.com" ]
tuplelegal.com	https://tuplelegal.com/contact-los-angeles-nonprofit-lawyer/				https://www.tuplelegal.com		[ "tuplelegal.com", "https://tuplelegal.com/contact-los-angeles-nonprofit-lawyer/", "https://www.tuplelegal.com" ]
komorowskilaw.com	https://komorowskilaw.com/team/	https://komorowskilaw.com/clients/	https://komorowskilaw.com/contact/		https://www.komorowskilaw.com		[ "komorowskilaw.com", "https://komorowskilaw.com/team/", "https://komorowskilaw.com/clients/", "https://komorowskilaw.com/contact/", "https://www.komorowskilaw.com" ]
mixip.io	https://www.mixip.io/about	https://www.mixip.io/contact-us			https://www.mixip.io		[ "mixip.io", "https://www.mixip.io/about", "https://www.mixip.io/contact-us", "https://www.mixip.io" ]
mainsaillawyers.com	https://mainsaillawyers.com/our-team/	https://mainsaillawyers.com/contact/	https://mainsaillawyers.com/join-us/	https://mainsaillawyers.com/practice-areas/	https://www.mainsaillawyers.com		[ "mainsaillawyers.com", "https://mainsaillawyers.com/our-team/", "https://mainsaillawyers.com/contact/", "https://mainsaillawyers.com/join-us/", "https://mainsaillawyers.com/practice-areas/", "https://www.mainsaillawyers.com" ]
zelinkaparsons.com	https://www.zelinkaparsons.com/about-us	https://www.zelinkaparsons.com/contact-us	https://zelinkaparsons.com/our-approach		https://www.zelinkaparsons.com		[ "zelinkaparsons.com", "https://www.zelinkaparsons.com/about-us", "https://www.zelinkaparsons.com/contact-us", "https://zelinkaparsons.com/our-approach", "https://www.zelinkaparsons.com" ]
rafaeltestai.com	https://www.rafaeltestai.com/home	https://www.jnj.com/medtech	https://www.statutematcher.com/	https://www.davincisurgery.com/			[ "rafaeltestai.com", "https://www.rafaeltestai.com/home", "https://www.jnj.com/medtech", "https://www.statutematcher.com/", "https://www.davincisurgery.com/" ]
vaagelaw.com	https://www.vaagelaw.com/	https://www.vaagelaw.com/about-the-firm/	https://www.vaagelaw.com/robert-vaage/	https://www.vaagelaw.com/contact-us/	https://www.vaagelaw.com		[ "vaagelaw.com", "https://www.vaagelaw.com/", "https://www.vaagelaw.com/about-the-firm/", "https://www.vaagelaw.com/robert-vaage/", "https://www.vaagelaw.com/contact-us/", "https://www.vaagelaw.com" ]
legalease.us	https://www.legalease.us/our-approach	https://www.legalease.us/contact	https://www.legalease.us/Services	https://www.legalease.us			[ "legalease.us", "https://www.legalease.us/our-approach", "https://www.legalease.us/contact", "https://www.legalease.us/Services", "https://www.legalease.us" ]
BayAreaBicycleLaw.com	https://bayareabicyclelaw.com/	https://bayareabicyclelaw.com/about-our-firm/	https://bayareabicyclelaw.com/testimonials/	https://bayareabicyclelaw.com/contact-us/			[ "BayAreaBicycleLaw.com", "https://bayareabicyclelaw.com/", "https://bayareabicyclelaw.com/about-our-firm/", "https://bayareabicyclelaw.com/testimonials/", "https://bayareabicyclelaw.com/contact-us/" ]
dobinlaw.com	https://dobinlaw.com/	https://dobinlaw.com/contact-us/	https://dobinlaw.com/marc-s-dobin/	https://dobinlaw.com/about-dobin-law-group/	https://dobinlaw.com/practice-areas/		[ "dobinlaw.com", "https://dobinlaw.com/", "https://dobinlaw.com/contact-us/", "https://dobinlaw.com/marc-s-dobin/", "https://dobinlaw.com/about-dobin-law-group/", "https://dobinlaw.com/practice-areas/" ]
sorensenlawgroup.com	https://www.sorensenlawgroup.com/about/				https://www.sorensenlawgroup.com		[ "sorensenlawgroup.com", "https://www.sorensenlawgroup.com/about/", "https://www.sorensenlawgroup.com" ]
yourattorney.com	https://yourattorney.com/	https://yourattorney.com/contact/	https://yourattorney.com/about-us/	https://yourattorney.com/practice-areas/			[ "yourattorney.com", "https://yourattorney.com/", "https://yourattorney.com/contact/", "https://yourattorney.com/about-us/", "https://yourattorney.com/practice-areas/" ]
